LoanAmount,City,State,Zip,NAICSCode,BusinessType,JobsReported,DateApproved,MonthApproved,Lender,CD,NAICSCodeDefinition
146641,KAPAA,HI,96746,522390,Corporation,25,2020-05-03T00:00:00Z,May,Cross River Bank,HI-02,Other Activities Related to Credit Intermediation
146600,HILO,HI,96720,722511,Corporation,0,2020-05-06T00:00:00Z,May,Central Pacific Bank,HI-02,Full-Service Restaurants
146600,HONOLULU,HI,96826,561510,Corporation,15,2020-04-14T00:00:00Z,April,First Hawaiian Bank,HI-01,Travel Agencies
146500,KAILUA KONA,HI,96740,811121,Corporation,0,2020-04-30T00:00:00Z,April,Central Pacific Bank,HI-02,"Automotive Body, Paint, and Interior Repair and Maintenance"
146300,HONOLULU,HI,96819,541211,Limited  Liability Company(LLC),11,2020-04-03T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Offices of Certified Public Accountants
146300,HONOLULU,HI,96813,531312,Corporation,12,2020-04-14T00:00:00Z,April,First Hawaiian Bank,HI-01,Nonresidential Property Managers
146255,HONOLULU,HI,96817,561990,Limited  Liability Company(LLC),30,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-01,All Other Support Services
146200,HONOLULU,HI,96819,238220,Limited  Liability Company(LLC),9,2020-04-04T00:00:00Z,April,Hawaii National Bank,HI-01,"Plumbing, Heating, and Air-Conditioning Contractors"
146200,KAHULUI,HI,96732,812199,Limited  Liability Company(LLC),32,2020-04-09T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Other Personal Care Services
146100,HONOLULU,HI,96815,531312,Corporation,21,2020-04-10T00:00:00Z,April,First Hawaiian Bank,HI-01,Nonresidential Property Managers
146100,WAIPAHU,HI,96797,621111,Limited  Liability Company(LLC),10,2020-04-04T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Offices of Physicians (except Mental Health Specialists)
146077.5,HONOLULU,HI,96815,722511,Subchapter S Corporation,47,2020-04-15T00:00:00Z,April,First Hawaiian Bank,HI-01,Full-Service Restaurants
146000,WAIPAHU,HI,96797,423120,Corporation,20,2020-04-10T00:00:00Z,April,First Hawaiian Bank,HI-01,Motor Vehicle Supplies and New Parts Merchant Wholesalers
146000,KAILUA KONA,HI,96745,561320,Limited  Liability Company(LLC),8,2020-04-05T00:00:00Z,April,Bank of Hawaii,HI-02,Temporary Help Services
146000,KAILUA,HI,96734,811219,Corporation,11,2020-04-28T00:00:00Z,April,Central Pacific Bank,HI-02,Other Electronic and Precision Equipment Repair and Maintenance
146000,HONOLULU,HI,96813,621111,Corporation,10,2020-04-07T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Offices of Physicians (except Mental Health Specialists)
145905,HONOLULU,HI,96819,444190,Corporation,0,2020-04-13T00:00:00Z,April,Bank of Hawaii,HI-01,Other Building Material Dealers
145900,HONOLULU,HI,96817,541310,Corporation,9,2020-04-08T00:00:00Z,April,Central Pacific Bank,HI-01,Architectural Services
145833.35,LIHUE,HI,96766,523999,Subchapter S Corporation,0,2020-04-07T00:00:00Z,April,Kaua'i Government Employees' FCU,HI-02,Miscellaneous Financial Investment Activities
145830,KAUNAKAKAI,HI,96748,423440,Corporation,0,2020-06-22T00:00:00Z,June,Bank of Hawaii,HI-02,Other Commercial Equipment Merchant Wholesalers
145800,KULA,HI,96790,111998,Corporation,12,2020-04-10T00:00:00Z,April,"American Savings Bank, FSB",HI-02,All Other Miscellaneous Crop Farming
145800,HONOLULU,HI,96814,517311,Limited  Liability Company(LLC),10,2020-04-09T00:00:00Z,April,First Hawaiian Bank,HI-01,Wired Telecommunications Carriers
145790,HONOLULU,HI,96823,238110,Subchapter S Corporation,17,2020-04-27T00:00:00Z,April,First Hawaiian Bank,HI-01,Poured Concrete Foundation and Structure Contractors
145700,HONOLULU,HI,96815,621210,Limited  Liability Company(LLC),12,2020-04-12T00:00:00Z,April,Central Pacific Bank,HI-01,Offices of Dentists
145700,WAIPAHU,HI,96797,238210,Limited  Liability Company(LLC),14,2020-05-08T00:00:00Z,May,Hawaii National Bank,HI-01,Electrical Contractors and Other Wiring Installation Contractors
145635,HONOLULU,HI,96819,541690,Limited  Liability Company(LLC),0,2020-04-14T00:00:00Z,April,Bank of Hawaii,HI-01,Other Scientific and Technical Consulting Services
145595,KOLOA,HI,96756,487210,Sole Proprietorship,25,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-02,"Scenic and Sightseeing Transportation, Water"
145500,HILO,HI,96720,541310,Limited  Liability Company(LLC),8,2020-04-06T00:00:00Z,April,First Hawaiian Bank,HI-02,Architectural Services
145500,HONOLULU,HI,96816,621210,Corporation,13,2020-04-08T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Offices of Dentists
145300,HONOLULU,HI,96813,541910,Corporation,0,2020-04-12T00:00:00Z,April,Bank of Hawaii,HI-01,Marketing Research and Public Opinion Polling
145300,HONOLULU,HI,96817,236118,Corporation,14,2020-04-05T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Residential Remodelers
145200,KAHULUI,HI,96732,532299,Corporation,18,2020-04-04T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Not found
145190,HONOLULU,HI,96817,424420,Corporation,16,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,Packaged Frozen Food Merchant Wholesalers
145012.5,HONOLULU,HI,96814,561520,Corporation,11,2020-04-14T00:00:00Z,April,First Hawaiian Bank,HI-01,Tour Operators
145010,HILO,HI,96720,451110,Corporation,0,2020-04-15T00:00:00Z,April,Bank of Hawaii,HI-02,Sporting Goods Stores
145000,KEALAKEKUA,HI,96750,424490,Limited  Liability Company(LLC),10,2020-04-05T00:00:00Z,April,Central Pacific Bank,HI-02,Other Grocery and Related Products Merchant Wholesalers
145000,HONOLULU,HI,96819,312112,Limited  Liability Company(LLC),0,2020-04-14T00:00:00Z,April,Central Pacific Bank,HI-01,Bottled Water Manufacturing
145000,KAILUA KONA,HI,96745,236115,Limited  Liability Company(LLC),0,2020-04-15T00:00:00Z,April,Central Pacific Bank,HI-02,New Single-Family Housing Construction (except For-Sale Builders)
144990,KAMUELA,HI,96743,484122,Sole Proprietorship,17,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-02,"General Freight Trucking, Long-Distance, Less Than Truckload"
144930,HONOLULU,HI,96825,238110,Subchapter S Corporation,0,2020-04-12T00:00:00Z,April,Bank of Hawaii,HI-01,Poured Concrete Foundation and Structure Contractors
144900,HONOLULU,HI,96813,621111,Corporation,12,2020-04-09T00:00:00Z,April,Ohana Pacific Bank,HI-01,Offices of Physicians (except Mental Health Specialists)
144900,HONOLULU,HI,96815,621610,Limited  Liability Company(LLC),23,2020-05-01T00:00:00Z,May,"American Savings Bank, FSB",HI-01,Home Health Care Services
144872,HONOLULU,HI,96819,334511,Sole Proprietorship,6,2020-05-04T00:00:00Z,May,First Hawaiian Bank,HI-01,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
144800,EWA BEACH,HI,96706,621210,Corporation,10,2020-04-07T00:00:00Z,April,Central Pacific Bank,HI-01,Offices of Dentists
144705,KAILUA KONA,HI,96740,441228,Subchapter S Corporation,0,2020-04-11T00:00:00Z,April,Bank of Hawaii,HI-02,"Motorcycle, ATV, and All Other Motor Vehicle Dealers"
144600,WAILUKU,HI,96793,444190,Sole Proprietorship,15,2020-04-11T00:00:00Z,April,Central Pacific Bank,HI-02,Other Building Material Dealers
144600,LIHUE,HI,96766,238990,Corporation,10,2020-04-05T00:00:00Z,April,"American Savings Bank, FSB",HI-02,All Other Specialty Trade Contractors
144500,WAIPAHU,HI,96797,561730,Limited  Liability Company(LLC),4,2020-04-04T00:00:00Z,April,First Hawaiian Bank,HI-01,Landscaping Services
144500,KIHEI,HI,96753,238340,Corporation,13,2020-04-08T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Tile and Terrazzo Contractors
144400,AIEA,HI,96701,337110,Corporation,20,2020-04-29T00:00:00Z,April,Hawaii National Bank,HI-01,Wood Kitchen Cabinet and Countertop Manufacturing
144400,HONOLULU,HI,96814,238330,Corporation,14,2020-04-07T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Flooring Contractors
144377.5,HONOLULU,HI,96815,448120,Corporation,14,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,Women's Clothing Stores
144300,KAILUA,HI,96734,443142,Subchapter S Corporation,0,2020-04-15T00:00:00Z,April,Bank of Hawaii,HI-02,Electronics Stores
144300,MILILANI,HI,96789,238140,Corporation,11,2020-06-01T00:00:00Z,June,"American Savings Bank, FSB",HI-01,Masonry Contractors
144285,KANEOHE,HI,96744,311991,Corporation,0,2020-04-12T00:00:00Z,April,Bank of Hawaii,HI-02,Perishable Prepared Food Manufacturing
144207,MILILANI,HI,96789,813110,Non-Profit Organization,27,2020-05-01T00:00:00Z,May,First Hawaiian Bank,HI-01,Religious Organizations
144165,HONOLULU,HI,96813,561312,Corporation,0,2020-04-11T00:00:00Z,April,Bank of Hawaii,HI-01,Executive Search Services
144000,HONOLULU,HI,96825,722515,Corporation,20,2020-04-03T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Snack and Nonalcoholic Beverage Bars
143887,HILO,HI,96720,722513,Limited  Liability Company(LLC),0,2020-05-03T00:00:00Z,May,Cross River Bank,HI-02,Limited-Service Restaurants
143800,HONOLULU,HI,96819,423990,Limited  Liability Company(LLC),16,2020-04-05T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Other Miscellaneous Durable Goods Merchant Wholesalers
143800,LAHAINA,HI,96761,442110,Corporation,8,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-02,Furniture Stores
143732,HONOLULU,HI,96813,812310,Corporation,0,2020-04-09T00:00:00Z,April,Central Pacific Bank,HI-01,Coin-Operated Laundries and Drycleaners
143600,HONOLULU,HI,96813,314120,Limited  Liability Company(LLC),11,2020-04-04T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Curtain and Linen Mills
143597.5,HONOLULU,HI,96813,621340,Limited  Liability Company(LLC),8,2020-04-14T00:00:00Z,April,First Hawaiian Bank,HI-01,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
143500,KAPOLEI,HI,96709,112111,Subchapter S Corporation,0,2020-04-10T00:00:00Z,April,Bank of Hawaii,HI-02,Beef Cattle Ranching and Farming
143400,WAIKOLOA VILLAGE,HI,96738,238320,Limited  Liability Company(LLC),20,2020-04-12T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Painting and Wall Covering Contractors
143400,KAPOLEI,HI,96709,236116,Corporation,14,2020-04-12T00:00:00Z,April,Central Pacific Bank,HI-02,New Multifamily Housing Construction (except For-Sale Builders)
143400,WAIPAHU,HI,96797,238150,Corporation,8,2020-04-08T00:00:00Z,April,Central Pacific Bank,HI-01,Glass and Glazing Contractors
143397,KAHULUI,HI,96732,334510,Corporation,10,2020-05-01T00:00:00Z,May,First Hawaiian Bank,HI-02,Electromedical and Electrotherapeutic Apparatus Manufacturing
143300,KAPOLEI,HI,96707,722511,Corporation,25,2020-04-05T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Full-Service Restaurants
143300,HONOLULU,HI,96814,621111,Corporation,11,2020-04-08T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Offices of Physicians (except Mental Health Specialists)
143282,HANALEI,HI,96714,722511,Corporation,33,2020-05-15T00:00:00Z,May,Bank of Hawaii,HI-02,Full-Service Restaurants
143200,HONOLULU,HI,96817,722513,Corporation,19,2020-04-10T00:00:00Z,April,Central Pacific Bank,HI-01,Limited-Service Restaurants
143100,HONOLULU,HI,96813,541110,Corporation,9,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Offices of Lawyers
143020,KAMUELA,HI,96743,238910,Corporation,0,2020-05-20T00:00:00Z,May,Bank of Hawaii,HI-02,Site Preparation Contractors
143000,HONOLULU,HI,96817,333414,Corporation,0,2020-04-13T00:00:00Z,April,Bank of Hawaii,HI-01,Heating Equipment (except Warm Air Furnaces) Manufacturing
143000,HALEIWA,HI,96712,236220,Corporation,17,2020-04-05T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Commercial and Institutional Building Construction
142900,PEARL CITY,HI,96782,722511,Subchapter S Corporation,29,2020-04-14T00:00:00Z,April,First Hawaiian Bank,HI-01,Full-Service Restaurants
142867.5,HONOLULU,HI,96817,112920,Sole Proprietorship,9,2020-04-30T00:00:00Z,April,First Hawaiian Bank,HI-01,Horses and Other Equine Production
142800,KAILUA,HI,96734,621210,Limited  Liability Company(LLC),16,2020-04-03T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Offices of Dentists
142800,HONOLULU,HI,96814,236118,Corporation,36,2020-04-13T00:00:00Z,April,First Hawaiian Bank,HI-01,Residential Remodelers
142700,HONOLULU,HI,96813,541110,Sole Proprietorship,8,2020-04-06T00:00:00Z,April,First Hawaiian Bank,HI-01,Offices of Lawyers
142700,WAIPAHU,HI,96797,238220,Corporation,9,2020-04-09T00:00:00Z,April,Central Pacific Bank,HI-01,"Plumbing, Heating, and Air-Conditioning Contractors"
142660,KAPOLEI,HI,96707,238910,Corporation,10,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-02,Site Preparation Contractors
142600,KAUNAKAKAI,HI,96748,236220,Corporation,18,2020-05-01T00:00:00Z,May,"American Savings Bank, FSB",HI-02,Commercial and Institutional Building Construction
142475,HILO,HI,96720,721110,Corporation,18,2020-04-16T00:00:00Z,April,First Hawaiian Bank,HI-02,Hotels (except Casino Hotels) and Motels
142400,KAILUA-KONA,HI,96740,238210,Corporation,0,2020-05-05T00:00:00Z,May,Central Pacific Bank,HI-02,Electrical Contractors and Other Wiring Installation Contractors
142255,WAILUKU,HI,96793,621340,Limited  Liability Company(LLC),8,2020-05-03T00:00:00Z,May,First Hawaiian Bank,HI-02,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
142245,HONOLULU,HI,96817,236118,Limited  Liability Company(LLC),8,2020-05-03T00:00:00Z,May,Bank of Hawaii,HI-01,Residential Remodelers
142100,LAHAINA,HI,96761,238910,Limited  Liability Company(LLC),10,2020-04-11T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Site Preparation Contractors
142100,AIEA,HI,96701,446191,Limited  Liability Company(LLC),7,2020-04-06T00:00:00Z,April,Central Pacific Bank,HI-01,Food (Health) Supplement Stores
142100,HONOLULU,HI,96813,333921,Limited  Liability Company(LLC),8,2020-04-07T00:00:00Z,April,Central Pacific Bank,HI-01,Elevator and Moving Stairway Manufacturing
142065,HONOLULU,HI,96815,722511,Corporation,0,2020-04-12T00:00:00Z,April,Bank of Hawaii,HI-01,Full-Service Restaurants
142000,HOLUALOA,HI,96725,531390,Limited  Liability Company(LLC),5,2020-04-15T00:00:00Z,April,First Hawaiian Bank,HI-02,Other Activities Related to Real Estate
142000,HILO,HI,96720,441310,Corporation,13,2020-04-15T00:00:00Z,April,First Hawaiian Bank,HI-02,Automotive Parts and Accessories Stores
142000,HONOLULU,HI,96818,621610,Limited  Liability Company(LLC),0,2020-04-14T00:00:00Z,April,Central Pacific Bank,HI-01,Home Health Care Services
142000,HONOLULU,HI,96826,813410,Professional Association,11,2020-04-14T00:00:00Z,April,Central Pacific Bank,HI-01,Civic and Social Organizations
142000,HONOLULU,HI,96826,561720,Subchapter S Corporation,27,2020-07-04T00:00:00Z,July,Fountainhead SBF LLC,HI-01,Janitorial Services
141950,KAILUA KONA,HI,96745,487110,Limited  Liability Company(LLC),0,2020-04-12T00:00:00Z,April,Bank of Hawaii,HI-02,"Scenic and Sightseeing Transportation, Land"
141900,LAHAINA,HI,96761,713990,Corporation,28,2020-04-11T00:00:00Z,April,First Hawaiian Bank,HI-02,All Other Amusement and Recreation Industries
141900,VOLCANO,HI,96785,445120,Corporation,28,2020-04-07T00:00:00Z,April,First Hawaiian Bank,HI-02,Convenience Stores
141900,HONOLULU,HI,96813,813211,Non-Profit Organization,6,2020-04-14T00:00:00Z,April,Central Pacific Bank,HI-01,Grantmaking Foundations
141900,HONOLULU,HI,96817,236210,Corporation,11,2020-04-28T00:00:00Z,April,First Hawaiian Bank,HI-01,Industrial Building Construction
141885,KAILUA KONA,HI,96740,424130,Limited  Liability Company(LLC),0,2020-04-11T00:00:00Z,April,Bank of Hawaii,HI-02,Industrial and Personal Service Paper Merchant Wholesalers
141860,HONOLULU,HI,96819,531210,Limited  Liability Company(LLC),0,2020-04-10T00:00:00Z,April,Bank of Hawaii,HI-01,Offices of Real Estate Agents and Brokers
141805,HILO,HI,96720,621111,Corporation,8,2020-04-27T00:00:00Z,April,Bank of Hawaii,HI-02,Offices of Physicians (except Mental Health Specialists)
141800,HONOLULU,HI,96822,621210,Limited  Liability Company(LLC),16,2020-04-10T00:00:00Z,April,Central Pacific Bank,HI-01,Offices of Dentists
141700,HONOLULU,HI,96819,238340,Limited  Liability Company(LLC),17,2020-04-15T00:00:00Z,April,Central Pacific Bank,HI-01,Tile and Terrazzo Contractors
141700,LIHUE,HI,96766,442210,Corporation,9,2020-04-05T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Floor Covering Stores
141700,KAMUELA,HI,96743,721110,Subchapter S Corporation,11,2020-04-15T00:00:00Z,April,First Hawaiian Bank,HI-02,Hotels (except Casino Hotels) and Motels
141620,HILO,HI,96720,313310,Limited  Liability Company(LLC),19,2020-04-05T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Textile and Fabric Finishing Mills
141600,HONOLULU,HI,96819,541330,Corporation,9,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Engineering Services
141600,KAILUA,HI,96734,541330,Limited  Liability Company(LLC),9,2020-04-06T00:00:00Z,April,"American Savings Bank, FSB",HI-02,Engineering Services
141500,WAIPAHU,HI,96797,238320,Limited  Liability Company(LLC),15,2020-04-05T00:00:00Z,April,"American Savings Bank, FSB",HI-01,Painting and Wall Covering Contractors
141500,LIHUE,HI,96766,561710,Corporation,10,2020-04-14T00:00:00Z,April,Central Pacific Bank,HI-02,Exterminating and Pest Control Services
141487.5,HONOLULU,HI,96816,561622,Corporation,11,2020-05-15T00:00:00Z,May,First Hawaiian Bank,HI-01,Locksmiths
